,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
86,Rep,State Senate - District 41,18.180863216775872,"<b>Jeff Newlin (Rep)</b><br>13,846 votes",47,47
87,Dem,State Senate - District 41,81.81913678322414,"<b>Kim Jackson (I) (Dem)</b><br>62,311 votes",47,47
88,Rep,State Senate - District 42,58.238443275452724,"<b>Brian Strickland (I) (Rep)</b><br>62,551 votes",40,40
89,Dem,State Senate - District 42,41.76155672454727,"<b>Kacy D. Morgan (Dem)</b><br>44,854 votes",40,40
90,Dem,State Senate - District 43,100.0,"<b>Tonya P. Anderson (I) (Dem)</b><br>80,092 votes",32,32
91,Dem,State Senate - District 44,100.0,"<b>Elena Parent (I) (Dem)</b><br>89,952 votes",51,51
92,Rep,State Senate - District 45,100.0,"<b>Clint Dixon (I) (Rep)</b><br>76,563 votes",27,27
93,Rep,State Senate - District 46,63.66914981671987,"<b>Bill Cowsert (I) (Rep)</b><br>64,614 votes",42,42
94,Dem,State Senate - District 46,36.33085018328012,"<b>Gareth Fenley (Dem)</b><br>36,870 votes",42,42
95,Rep,State Senate - District 47,62.60958164778516,"<b>Frank Ginn (I) (Rep)</b><br>62,063 votes",41,41
96,Dem,State Senate - District 47,37.39041835221484,"<b>Conolus Scott (Dem)</b><br>37,064 votes",41,41
97,Rep,State Senate - District 48,53.57527215530445,"<b>Shawn Still (I) (Rep)</b><br>51,773 votes",37,37
98,Dem,State Senate - District 48,46.42472784469555,"<b>Ashwin Ramaswami (Dem)</b><br>44,863 votes",37,37
99,Rep,State Senate - District 49,100.0,"<b>Drew Echols (Rep)</b><br>83,710 votes",30,30
100,Rep,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
101,Dem,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
102,Rep,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
103,Rep,State Senate - District 52,100.0,"<b>Chuck Hufstetler (I) (Rep)</b><br>80,598 votes",35,35
104,Rep,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
105,Dem,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
106,Rep,State Senate - District 54,100.0,"<b>Chuck Payne (I) (Rep)</b><br>69,447 votes",39,39
107,Rep,State Senate - District 55,24.029791808349604,"<b>Mary Williams Benefield (Rep)</b><br>21,907 votes",46,46
108,Dem,State Senate - District 55,75.9702081916504,"<b>Randal Mangham (Dem)</b><br>69,259 votes",46,46
109,Rep,State Senate - District 56,61.230842101701796,"<b>John Albers (I) (Rep)</b><br>72,392 votes",44,44
110,Dem,State Senate - District 56,38.769157898298204,"<b>JD Jordan (Dem)</b><br>45,836 votes",44,44
111,Rep,State House of Representatives - District 1,80.338354401635,"<b>Mike Cameron (I) (Rep)</b><br>21,227 votes",16,16
112,Dem,State House of Representatives - District 1,19.661645598365,"<b>John B. Zibluk (Dem)</b><br>5,195 votes",16,16
113,Rep,State House of Representatives - District 2,100.0,"<b>Steve Tarvin (I) (Rep)</b><br>27,194 votes",14,14
114,Rep,State House of Representatives - District 3,100.0,"<b>Mitchell Horner (I) (Rep)</b><br>25,884 votes",9,9
115,Rep,State House of Representatives - District 4,100.0,"<b>Kasey Carpenter (I) (Rep)</b><br>14,785 votes",13,13
116,Rep,State House of Representatives - District 5,100.0,"<b>Matt Barton (I) (Rep)</b><br>24,874 votes",11,11
117,Rep,State House of Representatives - District 6,85.30066815144765,"<b>Jason T. Ridley (I) (Rep)</b><br>22,597 votes",14,14
118,Dem,State House of Representatives - District 6,14.699331848552339,"<b>Cathy Kott (Dem)</b><br>3,894 votes",14,14
119,Rep,State House of Representatives - District 7,100.0,"<b>Johnny Chastain (I) (Rep)</b><br>32,125 votes",26,26
120,Rep,State House of Representatives - District 8,84.82536928846596,"<b>Stan Gunter (I) (Rep)</b><br>33,249 votes",21,21
121,Dem,State House of Representatives - District 8,15.174630711534046,"<b>Charlotte Sleczkowski (Dem)</b><br>5,948 votes",21,21
